Date,XLRE Closing Price,XLRE Log Return,XLRE Volatility
2024-01-16,36.45547866821289,-0.006088421132369301,0.007059169660069959
2024-01-17,35.78759765625,-0.018490354356441807,0.010050144184166485
2024-01-18,35.555686950683594,-0.006501285262808695,0.009374210429068348
2024-01-19,35.89890670776367,0.00960672726906648,0.011544696072589143
2024-01-22,36.06588363647461,0.004640525667034206,0.01093599320681562
2024-01-23,35.87107849121094,-0.005416009119348783,0.010898223225209867
2024-01-24,35.37944412231445,-0.013800380783351779,0.00934826113080976
2024-01-25,35.86180114746094,0.013541717145464717,0.011205887168115724
2024-01-26,35.70411682128906,-0.004406694857537526,0.010466549737233643
2024-01-29,35.96384048461914,0.00724800343444218,0.010880127419194177
2024-01-30,35.62990188598633,-0.009328776771610682,0.011442302472409226
2024-01-31,35.37016296386719,-0.00731661531243181,0.009948313739825626
2024-02-01,35.991668701171875,0.017418876095344447,0.011328231860837765
2024-02-02,35.537132263183594,-0.012709357634923668,0.012783214384551086
2024-02-05,34.83214569091797,-0.020037441912910244,0.014164607731380476
2024-02-06,35.36088943481445,0.015065703994659308,0.016848328133085084
2024-02-07,35.34233093261719,-0.0005249690898670939,0.01653459396665587
2024-02-08,35.537132263183594,0.005496707008118006,0.014037326249505893
2024-02-09,35.62990188598633,0.002607096852011083,0.01288799304530158
2024-02-12,35.518585205078125,-0.0031291395302789336,0.007033546830570743
2024-02-13,34.86925506591797,-0.018450589113085756,0.009331359513019409
2024-02-14,35.101158142089844,0.006628628149120806,0.010268740327432293
2024-02-15,35.945289611816406,0.02376392405686997,0.015326387278810274
2024-02-16,35.57423782348633,-0.010376330237002136,0.016325270817838168
2024-02-20,35.518585205078125,-0.0015656328559029104,0.016272726198817502
2024-02-21,35.778324127197266,0.007286152334961879,0.012643123396953258
2024-02-22,35.87107849121094,0.00258911902791028,0.012653864005388822
2024-02-23,35.91746520996094,0.001292315537110913,0.006547158474590146
2024-02-26,35.509307861328125,-0.011428817900994984,0.0069617388485144534
2024-02-27,35.537132263183594,0.0007832736792798696,0.006939714028610707
2024-02-28,35.991668701171875,0.01270935763492372,0.008574141208406327
2024-02-29,36.27923583984375,0.007958075470489712,0.009112600727419234
2024-03-01,36.6781120300293,0.010934612514058776,0.009846584352237729
2024-03-04,37.095550537109375,0.011316856116395267,0.004773185789690112
2024-03-05,36.6224479675293,-0.012835645964712561,0.010679993816139412
2024-03-06,36.826534271240234,0.00555724048779856,0.010017949563628144
2024-03-07,36.826534271240234,0.0,0.009980420686555419
2024-03-08,37.26251220703125,0.011769161269939864,0.01015190868349322
2024-03-11,37.076988220214844,-0.004991273035472676,0.009473813767184272
2024-03-12,36.98422622680664,-0.0025050100138967473,0.006731599248271436
2024-03-13,36.752323150634766,-0.006290064906250436,0.007218935980843683
2024-03-14,36.232852935791016,-0.014235191714791954,0.009474685715493564
2024-03-15,36.21430206298828,-0.0005121215100437692,0.00526359634031063
2024-03-18,36.20869445800781,-0.00015485702776881697,0.0058406985506026
2024-03-19,36.20869445800781,0.0,0.0061779786867587495
2024-03-20,36.35811996459961,0.004118293436826854,0.00701122088678601
